address,postal_code,capacity,city,close,cost_per_unit,country,latitude,longitude,open,payment_modes,staff,available,charger_type,"if_battery_swap_station,_no._of_dockets",id,vendor,charging_type,contact_number,name,coordinates,timing,no_of_chargers,station_type
"Garud Automobiles  pillar no 748, near Nawada metro station",110059.0,3.3 KW,Delhi,23:59:59,25.0,India,28.6199968567493,77.0406369119882,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003581,Revos,Charging,,,"{'latitude': 28.6199968567493, 'longitude': 77.0406369119882}",24 hours,1.0,Charging Station
"Garud Automobiles  pillar no 748, near nawada metro station",110059.0,3.3 KW,Delhi,23:59:59,25.0,India,28.6202114090299,77.0406868681311,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003669,Revos,Charging,,,"{'latitude': 28.6202114090299, 'longitude': 77.0406868681311}",24 hours,1.0,Charging Station
"shop no.2, harphool singh building ,clock tower, subzi mandi, delhi",110007.0,3.3 KW,Delhi,23:59:59,20.0,India,28.6753179787367,77.201842367649,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003399,Revos,Charging,,,"{'latitude': 28.6753179787367, 'longitude': 77.201842367649}",24 hours,1.0,Charging Station
2466 roshnara road subzi mandi delhi,110007.0,3.3 KW,New Delhi,23:59:59,20.0,India,28.6725822968653,77.2017639130353,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004006,Revos,Charging,,,"{'latitude': 28.6725822968653, 'longitude': 77.2017639130353}",24 hours,1.0,Charging Station
2466 roshnara road subzi mandi delhi 110007,110007.0,3.3 KW,Delhi,23:59:59,20.0,India,28.6733918308134,77.2018467262387,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004010,Revos,Charging,,,"{'latitude': 28.6733918308134, 'longitude': 77.2018467262387}",24 hours,1.0,Charging Station
Shakti Vihar.,110044.0,3.3 KW,New Delhi,23:59:59,25.0,India,28.50129,77.32115,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004450,Revos,Charging,,,"{'latitude': 28.50129, 'longitude': 77.32115}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003352,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
"B 60, DDA Colony, New jafrabad,Delhi",110032.0,3.3 KW,New Delhi,23:59:59,30.0,India,28.6844764040059,77.2797001898288,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003583,Revos,Charging,,,"{'latitude': 28.6844764040059, 'longitude': 77.2797001898288}",24 hours,1.0,Charging Station
"B60, DDA Colony, New Jafrabad Delhi",110032.0,3.3 KW,New Delhi,23:59:59,30.0,India,28.6844690507611,77.2795865312218,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003584,Revos,Charging,,,"{'latitude': 28.6844690507611, 'longitude': 77.2795865312218}",24 hours,1.0,Charging Station
"h. no. 830, st. no. 30, indra chowk, jafrabad",110053.0,3.3 KW,Delhi,23:59:59,30.0,India,28.6804535137299,77.2715053707361,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005616,Revos,Charging,,,"{'latitude': 28.6804535137299, 'longitude': 77.2715053707361}",24 hours,1.0,Charging Station
C-147 20 futa road meet Nagar Delhi 110093,110093.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.7041691877432,77.3009637370705,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004164,Revos,Charging,,,"{'latitude': 28.7041691877432, 'longitude': 77.3009637370705}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004496,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004751,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_002930,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003097,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",110024.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5733477,77.2372255,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004244,Revos,Charging,,,"{'latitude': 28.5733477, 'longitude': 77.2372255}",24 hours,1.0,Charging Station
A 59 Gali No 6 Suraj Park Delhi 110042,110089.0,3.3 KW,New Delhi,23:59:59,20.0,India,28.7434107651609,77.1355824172496,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003484,Revos,Charging,,,"{'latitude': 28.7434107651609, 'longitude': 77.1355824172496}",24 hours,1.0,Charging Station
baldev vihar delhi,110081.0,3.3 KW,Delhi,23:59:59,40.0,India,28.7384079644107,77.0419029146432,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005071,Revos,Charging,,,"{'latitude': 28.7384079644107, 'longitude': 77.0419029146432}",24 hours,1.0,Charging Station
kondli sabzi Mandi chowk near agrawal sweets shop name  Ali store Delhi 110096,110096.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.6144189322315,77.3262247815728,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003855,Revos,Charging,,,"{'latitude': 28.6144189322315, 'longitude': 77.3262247815728}",24 hours,1.0,Charging Station
124 A Basement K.H.No.-45/22 Baporla Vihar village Bazorla Near Kalawati school NEW DELHI 110043,110043.0,3.3 KW,Delhi,23:59:59,25.0,India,28.6354389190673,77.0161590576171,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00006072,Revos,Charging,,,"{'latitude': 28.6354389190673, 'longitude': 77.0161590576171}",24 hours,1.0,Charging Station
Apex Graphics 12A/52A Road no 66 near crispers food maujpur delhi 110053,110053.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6846755296781,77.2753104194998,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003926,Revos,Charging,,,"{'latitude': 28.6846755296781, 'longitude': 77.2753104194998}",24 hours,1.0,Charging Station
12A/52A Road no.66 near crispers food maujur delhi 110053,110053.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6846667058011,77.2752960026264,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004777,Revos,Charging,,,"{'latitude': 28.6846667058011, 'longitude': 77.2752960026264}",24 hours,1.0,Charging Station
12A/52A Road no.66 near crispers food maujur delhi 110053,110053.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6846825887792,77.2753006964922,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004438,Revos,Charging,,,"{'latitude': 28.6846825887792, 'longitude': 77.2753006964922}",24 hours,1.0,Charging Station
H-6/9 malviya nagar new delhi-110017,110017.0,3.3 KW,New Delhi,23:59:59,10.0,India,28.5304908752441,77.2098388671875,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00009635,Revos,Charging,,,"{'latitude': 28.5304908752441, 'longitude': 77.2098388671875}",24 hours,1.0,Charging Station
"WS-94, Gali No. 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 110032",110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6862235203286,77.2771621495485,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003668,Revos,Charging,,,"{'latitude': 28.6862235203286, 'longitude': 77.2771621495485}",24 hours,1.0,Charging Station
"WS-94, Gali No 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 110032",110032.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6860014558137,77.2770478203892,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004522,Revos,Charging,,,"{'latitude': 28.6860014558137, 'longitude': 77.2770478203892}",24 hours,1.0,Charging Station
"WS-94, Gali No 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 1110032",110032.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.686028515356,77.2769827768206,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003667,Revos,Charging,,,"{'latitude': 28.686028515356, 'longitude': 77.2769827768206}",24 hours,1.0,Charging Station
"169, Dharampura, Najafgarh, New Delhi  - 110043",110043.0,3.3 KW,New Delhi,23:59:59,30.0,India,28.6033728728444,76.9891988486051,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005093,Revos,Charging,,,"{'latitude': 28.6033728728444, 'longitude': 76.9891988486051}",24 hours,1.0,Charging Station
"131, Gopal Nagar P Block, Near Green Gold School\nNajafgarh, New Delhi -110043",110043.0,3.3 KW,Delhi,23:59:59,20.0,India,28.6133689880371,76.9650268554687,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005179,Revos,Charging,,,"{'latitude': 28.6133689880371, 'longitude': 76.9650268554687}",24 hours,1.0,Charging Station
k 27 Gali no. 10 pipal wala road Mohan Garden Uttam Nagar New Delhi 110059,110059.0,3.3 KW,Delhi,23:59:59,20.0,India,28.6270999908447,77.0381393432617,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00006091,Revos,Charging,,,"{'latitude': 28.6270999908447, 'longitude': 77.0381393432617}",24 hours,1.0,Charging Station
"T-241, Param puri Uttam Nagar New Delhi 110059",110059.0,3.3 KW,New Delhi,23:59:59,,India,28.6173338997748,77.0560777187347,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005099,Revos,Charging,,,"{'latitude': 28.6173338997748, 'longitude': 77.0560777187347}",24 hours,1.0,Charging Station
"4 west laxmi market,  khureji,  delhi -51",110031.0,3.3 KW,New Delhi,23:59:59,20.0,India,28.6441955566406,77.279312133789,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004360,Revos,Charging,,,"{'latitude': 28.6441955566406, 'longitude': 77.279312133789}",24 hours,1.0,Charging Station
"w_49 pvc market , pashim vihar",110087.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6730044201805,77.0794320479035,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003504,Revos,Charging,,,"{'latitude': 28.6730044201805, 'longitude': 77.0794320479035}",24 hours,1.0,Charging Station
neenja,110065.0,3.3 KW,New Delhi,23:59:59,100.0,India,28.5621261596679,77.2595901489257,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00008545,Revos,Charging,,,"{'latitude': 28.5621261596679, 'longitude': 77.2595901489257}",24 hours,1.0,Charging Station
a-27 gali no 3 mahamaya kunj opposite S.R convent school,201102.0,3.3 KW,Delhi,23:59:59,5.0,India,28.7175426483154,77.3154525756836,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00006859,Revos,Charging,,,"{'latitude': 28.7175426483154, 'longitude': 77.3154525756836}",24 hours,1.0,Charging Station
555/1karkari road vishwas nagar delhi,110032.0,3.3 KW,Delhi,23:59:59,30.0,India,28.6662649521058,77.2936218604445,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005443,Revos,Charging,,,"{'latitude': 28.6662649521058, 'longitude': 77.2936218604445}",24 hours,1.0,Charging Station
555/1 karkari road viswash nagar,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6662620102966,77.2936634346842,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004949,Revos,Charging,,,"{'latitude': 28.6662620102966, 'longitude': 77.2936634346842}",24 hours,1.0,Charging Station
wz-1 basai road  pankha market opp metro piller no. 322 basai road,110015.0,3.3 KW,New Delhi,23:59:59,20.0,India,28.6564197540283,77.1389083862304,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00008506,Revos,Charging,,,"{'latitude': 28.6564197540283, 'longitude': 77.1389083862304}",24 hours,1.0,Charging Station
C-1/207 harsh vihar near lal mandir 110093,110093.0,3.3 KW,Delhi,23:59:59,40.0,India,28.7013251550705,77.322078756988,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004950,Revos,Charging,,,"{'latitude': 28.7013251550705, 'longitude': 77.322078756988}",24 hours,1.0,Charging Station
C1/207 Harsh vihar Delhi 93,110093.0,3.3 KW,Delhi,23:59:59,40.0,India,28.7013580922991,77.3222148790955,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004607,Revos,Charging,,,"{'latitude': 28.7013580922991, 'longitude': 77.3222148790955}",24 hours,1.0,Charging Station
C1/207 Harsh vihar Delhi 93,110093.0,3.3 KW,Delhi,23:59:59,40.0,India,28.701225755157,77.3219020664691,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004864,Revos,Charging,,,"{'latitude': 28.701225755157, 'longitude': 77.3219020664691}",24 hours,1.0,Charging Station
A-7 Jawahar Park,110062.0,3.3 KW,New Delhi,23:59:59,,India,28.5077877044677,77.2318725585937,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00006323,Revos,Charging,,,"{'latitude': 28.5077877044677, 'longitude': 77.2318725585937}",24 hours,1.0,Charging Station
RZ-49/256 GALI NO.3 DAYAL PARK NEAR MCD SCHOOL,110046.0,3.3 KW,New Delhi,23:59:59,12.0,India,28.6054191589355,77.0959320068359,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010567,Revos,Charging,,,"{'latitude': 28.6054191589355, 'longitude': 77.0959320068359}",24 hours,1.0,Charging Station
shop No 18  Main Chowk Budhpur Delhi 110036,110036.0,3.3 KW,Delhi,23:59:59,50.0,India,28.7814617156982,77.1375503540039,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010662,Revos,Charging,,,"{'latitude': 28.7814617156982, 'longitude': 77.1375503540039}",24 hours,1.0,Charging Station
sing Shbha rod Saktinagar 5/4  car max Amba chimera,110007.0,3.3 KW,Delhi,23:59:59,50.0,India,28.6757678985595,77.1991348266601,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004692,Revos,Charging,,,"{'latitude': 28.6757678985595, 'longitude': 77.1991348266601}",24 hours,1.0,Charging Station
D 70 Guru Nanak Dev Colony Bhalswa dairy near shiv chowk Delhi 110042,110042.0,3.3 KW,Delhi,23:59:59,70.0,India,28.7506011733978,77.1773454174399,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003230,Revos,Charging,,,"{'latitude': 28.7506011733978, 'longitude': 77.1773454174399}",24 hours,1.0,Charging Station
19/5 laxmi vihar jain road,110059.0,3.3 KW,Delhi,23:59:59,25.0,India,28.6242198944091,77.0312881469726,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00009430,Revos,Charging,,,"{'latitude': 28.6242198944091, 'longitude': 77.0312881469726}",24 hours,1.0,Charging Station
"Dwarka More,opp metro pillar no -792 near Tarak Hospital, New Delhi-110059",110059.0,3.3 KW,Delhi,23:59:59,50.0,India,28.6192869769428,77.0293173193931,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004694,Revos,Charging,,,"{'latitude': 28.6192869769428, 'longitude': 77.0293173193931}",24 hours,1.0,Charging Station
"D-272, Parking, Sarvodaya Enclave, New Delhi - 110017",110017.0,3.3 KW,New Delhi,23:59:59,100.0,India,28.5373306274414,77.2036514282226,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00008819,Revos,Charging,,,"{'latitude': 28.5373306274414, 'longitude': 77.2036514282226}",24 hours,1.0,Charging Station
H.No.199 Badi Chaupal Wali Gali Badarpur New Delhi 110044,110044.0,3.3 KW,New Delhi,23:59:59,10.0,India,28.5029182434082,77.3020324707031,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00009517,Revos,Charging,,,"{'latitude': 28.5029182434082, 'longitude': 77.3020324707031}",24 hours,1.0,Charging Station
"D-39, Gali No.-5, New Shyam Nagar, Tilak Nagar, West Delhi, Delhi-110018",110018.0,3.3 KW,New Delhi,23:59:59,25.0,India,28.644229888916,77.1065216064453,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00008330,Revos,Charging,,,"{'latitude': 28.644229888916, 'longitude': 77.1065216064453}",24 hours,1.0,Charging Station
67 Radhey Shyam Park Parwana Road Delhi,110051.0,3.3 KW,Delhi,23:59:59,10.0,India,28.64670753479,77.2871551513671,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00008688,Revos,Charging,,,"{'latitude': 28.64670753479, 'longitude': 77.2871551513671}",24 hours,1.0,Charging Station
M-358 chander shekhar azad colony kishan Ganj,110007.0,3.3 KW,New Delhi,23:59:59,,India,28.6668491363525,77.1951675415039,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010244,Revos,Charging,,,"{'latitude': 28.6668491363525, 'longitude': 77.1951675415039}",24 hours,1.0,Charging Station
Main road brijpuri phase-1 near brijpuri puliya Sony medical Delhi  110094,110094.0,3.3 KW,Delhi,23:59:59,50.0,India,28.7083134969141,77.276582121849,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004269,Revos,Charging,,,"{'latitude': 28.7083134969141, 'longitude': 77.276582121849}",24 hours,1.0,Charging Station
Main road brijpuri phase-1 near brijpuri puliya Sony medical Delhi  110094,110094.0,3.3 KW,Delhi,23:59:59,50.0,India,28.7083046750296,77.2765737399458,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004267,Revos,Charging,,,"{'latitude': 28.7083046750296, 'longitude': 77.2765737399458}",24 hours,1.0,Charging Station
Main road brijpuri phase-1 near brijpuri puliya Sony medical Delhi  110094,110094.0,3.3 KW,Delhi,23:59:59,50.0,India,28.7083293763043,77.2765734046697,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003837,Revos,Charging,,,"{'latitude': 28.7083293763043, 'longitude': 77.2765734046697}",24 hours,1.0,Charging Station
F151 naveen shahdara PANCHHEEL Garden\n\nDelhi,110031.0,3.3 KW,Delhi,23:59:59,50.0,India,28.6766825572154,77.2798312827944,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004946,Revos,Charging,,,"{'latitude': 28.6766825572154, 'longitude': 77.2798312827944}",24 hours,1.0,Charging Station
"car, Market Kishan Garh Vasant Kunj New Delhi 110070",110070.0,3.3 KW,New Delhi,23:59:59,30.0,India,28.5148011694468,77.1643511205911,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003675,Revos,Charging,,,"{'latitude': 28.5148011694468, 'longitude': 77.1643511205911}",24 hours,1.0,Charging Station
,110043.0,3.3 KW,Delhi,23:59:59,,India,28.5700325070613,76.9599128141999,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00007448,Revos,Charging,,,"{'latitude': 28.5700325070613, 'longitude': 76.9599128141999}",24 hours,1.0,Charging Station
,110059.0,3.3 KW,New Delhi,23:59:59,,India,28.6069831848144,77.0743560791015,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010178,Revos,Charging,,,"{'latitude': 28.6069831848144, 'longitude': 77.0743560791015}",24 hours,1.0,Charging Station
A-113 inderpuri new delhi 12,110028.0,3.3 KW,New Delhi,23:59:59,25.0,India,28.6276651362855,77.1476124599576,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010516,Revos,Charging,,,"{'latitude': 28.6276651362855, 'longitude': 77.1476124599576}",24 hours,1.0,Charging Station
"house no 47, gali no 9, G-2, sai enclave mohan garden uttam nagar new delhi",110059.0,3.3 KW,Delhi,23:59:59,10.0,India,28.6420269012451,77.0365982055664,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00007091,Revos,Charging,,,"{'latitude': 28.6420269012451, 'longitude': 77.0365982055664}",24 hours,1.0,Charging Station
10/114 Subhash gali  60 feeta  Road Vishwas nagar shahdra  Delhi 110032,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6673625353583,77.2991539165377,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004353,Revos,Charging,,,"{'latitude': 28.6673625353583, 'longitude': 77.2991539165377}",24 hours,1.0,Charging Station
10/114 Subhash gali 60 feeta Road vishwas nagar shahdra Delhi 110032,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6673598877577,77.2991374880075,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004436,Revos,Charging,,,"{'latitude': 28.6673598877577, 'longitude': 77.2991374880075}",24 hours,1.0,Charging Station
a/86 meet nagar main mangal bazar road delhi 110094,110093.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.7026952762101,77.2964049875736,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003247,Revos,Charging,,,"{'latitude': 28.7026952762101, 'longitude': 77.2964049875736}",24 hours,1.0,Charging Station
10/114 subhash gali 60 feet road vishwas nagar shahdra Delhi 110032,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6673334117485,77.299181073904,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003673,Revos,Charging,,,"{'latitude': 28.6673334117485, 'longitude': 77.299181073904}",24 hours,1.0,Charging Station
"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",110020.0,3.3 KW,New Delhi,23:59:59,5.0,India,28.5413246154785,77.2755737304687,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_001455,Revos,Charging,,,"{'latitude': 28.5413246154785, 'longitude': 77.2755737304687}",24 hours,1.0,Charging Station
10/114 Subhash gali  60 feeta Road Vishwas nagar shahdra Delhi  110032,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6673851870492,77.2991861030459,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005374,Revos,Charging,,,"{'latitude': 28.6673851870492, 'longitude': 77.2991861030459}",24 hours,1.0,Charging Station
19/114 Subhash gali 60 feeta Road Vishwas nagar shahdra Delhi 110032,110032.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6673804802047,77.299159951508,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_004352,Revos,Charging,,,"{'latitude': 28.6673804802047, 'longitude': 77.299159951508}",24 hours,1.0,Charging Station
Rz 739/22 TUGLKABAD EXTENSION,110019.0,3.3 KW,New Delhi,23:59:59,,India,28.5215771627335,77.2574103623628,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00007413,Revos,Charging,,,"{'latitude': 28.5215771627335, 'longitude': 77.2574103623628}",24 hours,1.0,Charging Station
Plot no182 chand nagar,110018.0,3.3 KW,Delhi,23:59:59,1.0,India,28.6482554144951,77.0963651686906,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00007243,Revos,Charging,,,"{'latitude': 28.6482554144951, 'longitude': 77.0963651686906}",24 hours,1.0,Charging Station
